regiao,faixa_renda,grupo_consumo,inflacao_ponderada
RM de Salvador (BA),Renda média,Artigos de residência,-0.01518
RM de Salvador (BA),Renda média,Comunicação,0.10325000000000001
RM de Salvador (BA),Renda média,Despesas pessoais,0.27742
RM de Salvador (BA),Renda média,Educação,0.34572
RM de Salvador (BA),Renda média,Habitação,0.46092
RM de Salvador (BA),Renda média,Saúde e cuidados pessoais,0.46147999999999995
RM de Salvador (BA),Renda média,Transportes,0.25704000000000005
RM de Salvador (BA),Renda média,Vestuário,0.06899999999999999
RM de Salvador (BA),Renda média alta,Alimentação e bebidas,0.7455499999999999
RM de Salvador (BA),Renda média alta,Artigos de residência,-0.014260000000000002
RM de Salvador (BA),Renda média alta,Comunicação,0.09974999999999999
RM de Salvador (BA),Renda média alta,Despesas pessoais,0.34891999999999995
RM de Salvador (BA),Renda média alta,Educação,0.3612
RM de Salvador (BA),Renda média alta,Habitação,0.45757999999999993
RM de Salvador (BA),Renda média alta,Saúde e cuidados pessoais,0.46812
RM de Salvador (BA),Renda média alta,Transportes,0.26568
RM de Salvador (BA),Renda média alta,Vestuário,0.06
RM de Salvador (BA),Renda média baixa,Alimentação e bebidas,1.0485799999999998
RM de Salvador (BA),Renda média baixa,Artigos de residência,-0.0184
RM de Salvador (BA),Renda média baixa,Comunicação,0.11725
RM de Salvador (BA),Renda média baixa,Despesas pessoais,0.2288
RM de Salvador (BA),Renda média baixa,Educação,0.23735999999999996
RM de Salvador (BA),Renda média baixa,Habitação,0.5577799999999999
RM de Salvador (BA),Renda média baixa,Saúde e cuidados pessoais,0.4316
RM de Salvador (BA),Renda média baixa,Transportes,0.21924000000000002
RM de Salvador (BA),Renda média baixa,Vestuário,0.075
RM de São Paulo (SP),Renda alta,Alimentação e bebidas,0.46371
RM de São Paulo (SP),Renda alta,Artigos de residência,0.01276
RM de São Paulo (SP),Renda alta,Comunicação,0.04141
RM de São Paulo (SP),Renda alta,Despesas pessoais,0.46624000000000004
RM de São Paulo (SP),Renda alta,Educação,0.53142
RM de São Paulo (SP),Renda alta,Habitação,0.35425000000000006
RM de São Paulo (SP),Renda alta,Saúde e cuidados pessoais,0.44376
RM de São Paulo (SP),Renda alta,Transportes,0.5256000000000001
RM de São Paulo (SP),Renda alta,Vestuário,0.11075999999999998
RM de São Paulo (SP),Renda baixa,Alimentação e bebidas,0.8821799999999999
RM de São Paulo (SP),Renda baixa,Artigos de residência,0.01848
RM de São Paulo (SP),Renda baixa,Comunicação,0.06060000000000001
RM de São Paulo (SP),Renda baixa,Despesas pessoais,0.1984
RM de São Paulo (SP),Renda baixa,Educação,0.19798
RM de São Paulo (SP),Renda baixa,Habitação,0.611
RM de São Paulo (SP),Renda baixa,Saúde e cuidados pessoais,0.47472000000000003
RM de São Paulo (SP),Renda baixa,Transportes,0.37229999999999996
RM de São Paulo (SP),Renda baixa,Vestuário,0.13916
RM de São Paulo (SP),Renda muito baixa,Alimentação e bebidas,0.9726600000000001
RM de São Paulo (SP),Renda muito baixa,Artigos de residência,0.022439999999999998
RM de São Paulo (SP),Renda muito baixa,Comunicação,0.059590000000000004
RM de São Paulo (SP),Renda muito baixa,Despesas pessoais,0.1736
RM de São Paulo (SP),Renda muito baixa,Educação,0.21360999999999997
RM de São Paulo (SP),Renda muito baixa,Habitação,0.6597500000000001
RM de São Paulo (SP),Renda muito baixa,Saúde e cuidados pessoais,0.4644
RM de São Paulo (SP),Renda muito baixa,Transportes,0.28689
RM de São Paulo (SP),Renda muito baixa,Vestuário,0.14483999999999997
RM de São Paulo (SP),Renda média,Alimentação e bebidas,0.68991
RM de São Paulo (SP),Renda média,Artigos de residência,0.01452
RM de São Paulo (SP),Renda média,Comunicação,0.059590000000000004
RM de São Paulo (SP),Renda média,Despesas pessoais,0.24055999999999997
RM de São Paulo (SP),Renda média,Educação,0.34907000000000005
RM de São Paulo (SP),Renda média,Habitação,0.4485
RM de São Paulo (SP),Renda média,Saúde e cuidados pessoais,0.47816000000000003
RM de São Paulo (SP),Renda média,Transportes,0.52122
RM de São Paulo (SP),Renda média,Vestuário,0.13063999999999998
RM de São Paulo (SP),Renda média alta,Alimentação e bebidas,0.58435
RM de São Paulo (SP),Renda média alta,Artigos de residência,0.013640000000000001
RM de São Paulo (SP),Renda média alta,Comunicação,0.05757
RM de São Paulo (SP),Renda média alta,Despesas pessoais,0.30255999999999994
RM de São Paulo (SP),Renda média alta,Educação,0.36469999999999997
RM de São Paulo (SP),Renda média alta,Habitação,0.44525
RM de São Paulo (SP),Renda média alta,Saúde e cuidados pessoais,0.48503999999999997
RM de São Paulo (SP),Renda média alta,Transportes,0.53874
RM de São Paulo (SP),Renda média alta,Vestuário,0.11359999999999999
RM de São Paulo (SP),Renda média baixa,Alimentação e bebidas,0.82186
RM de São Paulo (SP),Renda média baixa,Artigos de residência,0.0176
RM de São Paulo (SP),Renda média baixa,Comunicação,0.06767000000000001
RM de São Paulo (SP),Renda média baixa,Despesas pessoais,0.1984
RM de São Paulo (SP),Renda média baixa,Educação,0.23965999999999998
RM de São Paulo (SP),Renda média baixa,Habitação,0.54275
RM de São Paulo (SP),Renda média baixa,Saúde e cuidados pessoais,0.4472
RM de São Paulo (SP),Renda média baixa,Transportes,0.44457
RM de São Paulo (SP),Renda média baixa,Vestuário,0.142
RM do Rio de Janeiro (RJ),Renda alta,Alimentação e bebidas,0.33332999999999996
RM do Rio de Janeiro (RJ),Renda alta,Artigos de residência,0.01508
RM do Rio de Janeiro (RJ),Renda alta,Comunicação,0.01845
RM do Rio de Janeiro (RJ),Renda alta,Despesas pessoais,0.41736000000000006
RM do Rio de Janeiro (RJ),Renda alta,Educação,0.54876
RM do Rio de Janeiro (RJ),Renda alta,Habitação,0.28122
RM do Rio de Janeiro (RJ),Renda alta,Saúde e cuidados pessoais,0.44247
RM do Rio de Janeiro (RJ),Renda alta,Transportes,0.3528
RM do Rio de Janeiro (RJ),Renda alta,Vestuário,0.12324
RM do Rio de Janeiro (RJ),Renda baixa,Alimentação e bebidas,0.6341399999999999
RM do Rio de Janeiro (RJ),Renda baixa,Artigos de residência,0.021840000000000002
RM do Rio de Janeiro (RJ),Renda baixa,Comunicação,0.027000000000000003
RM do Rio de Janeiro (RJ),Renda baixa,Despesas pessoais,0.1776
RM do Rio de Janeiro (RJ),Renda baixa,Educação,0.20443999999999998
RM do Rio de Janeiro (RJ),Renda baixa,Habitação,0.48504
RM do Rio de Janeiro (RJ),Renda baixa,Saúde e cuidados pessoais,0.47334000000000004
RM do Rio de Janeiro (RJ),Renda baixa,Transportes,0.24989999999999998
RM do Rio de Janeiro (RJ),Renda baixa,Vestuário,0.15484
RM do Rio de Janeiro (RJ),Renda muito baixa,Alimentação e bebidas,0.69918
RM do Rio de Janeiro (RJ),Renda muito baixa,Artigos de residência,0.02652
RM do Rio de Janeiro (RJ),Renda muito baixa,Comunicação,0.026550000000000004
RM do Rio de Janeiro (RJ),Renda muito baixa,Despesas pessoais,0.1554
RM do Rio de Janeiro (RJ),Renda muito baixa,Educação,0.22057999999999997
RM do Rio de Janeiro (RJ),Renda muito baixa,Habitação,0.52374
RM do Rio de Janeiro (RJ),Renda muito baixa,Saúde e cuidados pessoais,0.46305
RM do Rio de Janeiro (RJ),Renda muito baixa,Transportes,0.19257
RM do Rio de Janeiro (RJ),Renda muito baixa,Vestuário,0.16116
RM do Rio de Janeiro (RJ),Renda média,Alimentação e bebidas,0.49593000000000004
RM do Rio de Janeiro (RJ),Renda média,Artigos de residência,0.017159999999999998
RM do Rio de Janeiro (RJ),Renda média,Comunicação,0.026550000000000004
RM do Rio de Janeiro (RJ),Renda média,Despesas pessoais,0.21533999999999998
RM do Rio de Janeiro (RJ),Renda média,Educação,0.36046
RM do Rio de Janeiro (RJ),Renda média,Habitação,0.3560400000000001
RM do Rio de Janeiro (RJ),Renda média,Saúde e cuidados pessoais,0.4767700000000001
RM do Rio de Janeiro (RJ),Renda média,Transportes,0.34985999999999995
RM do Rio de Janeiro (RJ),Renda média,Vestuário,0.14536
RM do Rio de Janeiro (RJ),Renda média alta,Alimentação e bebidas,0.42005000000000003
RM do Rio de Janeiro (RJ),Renda média alta,Artigos de residência,0.016120000000000002
RM do Rio de Janeiro (RJ),Renda média alta,Comunicação,0.02565
RM do Rio de Janeiro (RJ),Renda média alta,Despesas pessoais,0.27083999999999997
RM do Rio de Janeiro (RJ),Renda média alta,Educação,0.3766
RM do Rio de Janeiro (RJ),Renda média alta,Habitação,0.35345999999999994
RM do Rio de Janeiro (RJ),Renda média alta,Saúde e cuidados pessoais,0.48363
RM do Rio de Janeiro (RJ),Renda média alta,Transportes,0.36162
RM do Rio de Janeiro (RJ),Renda média alta,Vestuário,0.1264
RM do Rio de Janeiro (RJ),Renda média baixa,Alimentação e bebidas,0.5907800000000001
RM do Rio de Janeiro (RJ),Renda média baixa,Artigos de residência,0.0208
RM do Rio de Janeiro (RJ),Renda média baixa,Comunicação,0.03015
RM do Rio de Janeiro (RJ),Renda média baixa,Despesas pessoais,0.1776
RM do Rio de Janeiro (RJ),Renda média baixa,Educação,0.24747999999999998
RM do Rio de Janeiro (RJ),Renda média baixa,Habitação,0.43085999999999997
RM do Rio de Janeiro (RJ),Renda média baixa,Saúde e cuidados pessoais,0.4459
RM do Rio de Janeiro (RJ),Renda média baixa,Transportes,0.29841
RM do Rio de Janeiro (RJ),Renda média baixa,Vestuário,0.158
