regiao,faixa_renda,grupo_consumo,inflacao_ponderada
RM de Belo Horizonte (MG),Renda muito baixa,Educação,0.19311
RM de Belo Horizonte (MG),Renda muito baixa,Habitação,1.28702
RM de Belo Horizonte (MG),Renda muito baixa,Saúde e cuidados pessoais,0.4779
RM de Belo Horizonte (MG),Renda muito baixa,Transportes,0.25938
RM de Belo Horizonte (MG),Renda muito baixa,Vestuário,0.15861
RM de Belo Horizonte (MG),Renda média,Alimentação e bebidas,0.57462
RM de Belo Horizonte (MG),Renda média,Artigos de residência,0.06006
RM de Belo Horizonte (MG),Renda média,Comunicação,0.10443000000000001
RM de Belo Horizonte (MG),Renda média,Despesas pessoais,0.32882999999999996
RM de Belo Horizonte (MG),Renda média,Educação,0.31557
RM de Belo Horizonte (MG),Renda média,Habitação,0.87492
RM de Belo Horizonte (MG),Renda média,Saúde e cuidados pessoais,0.49206000000000005
RM de Belo Horizonte (MG),Renda média,Transportes,0.47124000000000005
RM de Belo Horizonte (MG),Renda média,Vestuário,0.14306
RM de Belo Horizonte (MG),Renda média alta,Alimentação e bebidas,0.4867
RM de Belo Horizonte (MG),Renda média alta,Artigos de residência,0.056420000000000005
RM de Belo Horizonte (MG),Renda média alta,Comunicação,0.10089000000000001
RM de Belo Horizonte (MG),Renda média alta,Despesas pessoais,0.41357999999999995
RM de Belo Horizonte (MG),Renda média alta,Educação,0.3297
RM de Belo Horizonte (MG),Renda média alta,Habitação,0.8685799999999999
RM de Belo Horizonte (MG),Renda média alta,Saúde e cuidados pessoais,0.49914000000000003
RM de Belo Horizonte (MG),Renda média alta,Transportes,0.48708000000000007
RM de Belo Horizonte (MG),Renda média alta,Vestuário,0.1244
RM de Belo Horizonte (MG),Renda média baixa,Alimentação e bebidas,0.68452
RM de Belo Horizonte (MG),Renda média baixa,Artigos de residência,0.0728
RM de Belo Horizonte (MG),Renda média baixa,Comunicação,0.11859
RM de Belo Horizonte (MG),Renda média baixa,Despesas pessoais,0.2712
RM de Belo Horizonte (MG),Renda média baixa,Educação,0.21665999999999996
RM de Belo Horizonte (MG),Renda média baixa,Habitação,1.05878
RM de Belo Horizonte (MG),Renda média baixa,Saúde e cuidados pessoais,0.46020000000000005
RM de Belo Horizonte (MG),Renda média baixa,Transportes,0.40194
RM de Belo Horizonte (MG),Renda média baixa,Vestuário,0.1555
RM de Belém (PA),Renda alta,Alimentação e bebidas,0.56457
RM de Belém (PA),Renda alta,Artigos de residência,0.01798
RM de Belém (PA),Renda alta,Comunicação,0.05657999999999999
RM de Belém (PA),Renda alta,Despesas pessoais,0.4042
RM de Belém (PA),Renda alta,Educação,0.5752799999999999
RM de Belém (PA),Renda alta,Habitação,0.56135
RM de Belém (PA),Renda alta,Saúde e cuidados pessoais,0.57018
RM de Belém (PA),Renda alta,Transportes,0.2808
RM de Belém (PA),Renda alta,Vestuário,0.06123
RM de Belém (PA),Renda baixa,Alimentação e bebidas,1.07406
RM de Belém (PA),Renda baixa,Artigos de residência,0.02604
RM de Belém (PA),Renda baixa,Comunicação,0.0828
RM de Belém (PA),Renda baixa,Despesas pessoais,0.172
RM de Belém (PA),Renda baixa,Educação,0.21431999999999998
RM de Belém (PA),Renda baixa,Habitação,0.9682000000000001
RM de Belém (PA),Renda baixa,Saúde e cuidados pessoais,0.6099600000000001
RM de Belém (PA),Renda baixa,Transportes,0.1989
RM de Belém (PA),Renda baixa,Vestuário,0.07693
RM de Belém (PA),Renda muito baixa,Alimentação e bebidas,1.18422
RM de Belém (PA),Renda muito baixa,Artigos de residência,0.03162
RM de Belém (PA),Renda muito baixa,Comunicação,0.08141999999999999
RM de Belém (PA),Renda muito baixa,Despesas pessoais,0.1505
RM de Belém (PA),Renda muito baixa,Educação,0.23123999999999995
RM de Belém (PA),Renda muito baixa,Habitação,1.0454500000000002
RM de Belém (PA),Renda muito baixa,Saúde e cuidados pessoais,0.5967
RM de Belém (PA),Renda muito baixa,Transportes,0.15327
RM de Belém (PA),Renda muito baixa,Vestuário,0.08007
RM de Belém (PA),Renda média,Alimentação e bebidas,0.83997
RM de Belém (PA),Renda média,Artigos de residência,0.02046
RM de Belém (PA),Renda média,Comunicação,0.08141999999999999
RM de Belém (PA),Renda média,Despesas pessoais,0.20854999999999996
RM de Belém (PA),Renda média,Educação,0.37788
RM de Belém (PA),Renda média,Habitação,0.7107000000000001
RM de Belém (PA),Renda média,Saúde e cuidados pessoais,0.61438
RM de Belém (PA),Renda média,Transportes,0.27846
RM de Belém (PA),Renda média,Vestuário,0.07221999999999999
